Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
1027624,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (nishikie harikomichō/ album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11148238_MAOV2689_12476%2D15.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677714,HistoricOrArtisticProperty
1027625,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (nishikie harikomichō/ album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11149286_MAOV2689_12476%2D17.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677715-2,HistoricOrArtisticProperty
1027626,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (nishikie harikomichō/ album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11152564_MAOV2689_12476%2D34.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677729,HistoricOrArtisticProperty
1027627,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (nishikie harikomichō/ album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11152608_MAOV2689_12476%2D35.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677730,HistoricOrArtisticProperty
1027628,BOOK,Where does the page come from?,The cultural asset is taken from the work: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (nishikie harikomichō/ album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11154655_MAOV2689_12476%2D61.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677737,HistoricOrArtisticProperty
1027629,BOOK,Where does the page come from?,The cultural asset is taken from the work: 江都の名品錦絵 (Edo no meihin nishikie/ Pregiate stampe a broccato di Edo).,江都の名品錦絵 (edo no meihin nishikie/ pregiate stampe a broccato di edo),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11158657_MAOV2686_12463%2D44.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677744-3,HistoricOrArtisticProperty
1027630,BOOK,Where does the page come from?,The cultural asset is taken from the work: 武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri).,武者絵画帖 (mushae gajō/ album di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11171426_MAOV2720%2D04.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677774-0,HistoricOrArtisticProperty
1027631,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri).,武者絵画帖 (mushae gajō/ album di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11171839_MAOV2720%2D49.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677777-1,HistoricOrArtisticProperty
1027632,BOOK,Where was it extracted from?,The cultural asset is taken from the work: 武者絵貼込帖 (Mushae harikomichō/ Raccolta di immagini di guerrieri).,武者絵貼込帖 (mushae harikomichō/ raccolta di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11173564_MAOV2699_12447%2D42.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677787,HistoricOrArtisticProperty
1027633,BOOK,Where does the page come from?,The cultural asset is taken from the work: Lars Bo. Documentation complete sur le graveur et son oeuvre.,Lars Bo. Documentation complete sur le graveur et son oeuvre,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD2549143_00186247.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800055788,HistoricOrArtisticProperty
1027634,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Du cubisme.,Du cubisme,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD2549386_00182893.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800055909,HistoricOrArtisticProperty
1027635,BOOK,Where does the page come from?,The cultural asset is taken from the work: Le voilier dans la foret.,Le voilier dans la foret,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD2549420_00183877.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800055926,HistoricOrArtisticProperty
1027636,BOOK,Where does the page come from?,"The cultural asset is taken from the work: Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei"".","Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei""",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218597_294844.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467C,HistoricOrArtisticProperty
1027637,BOOK,Where was it extracted from?,"The cultural asset is taken from the work: Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei"".","Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei""",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218603_295004.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467F,HistoricOrArtisticProperty
1027638,BOOK,Where was it extracted from?,"The cultural asset is taken from the work: Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei"".","Sceniche decorazioni inventate ed eseguite per il dramma serio ""L'Ultimo giorno di Pompei""",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218607_294930.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467H,HistoricOrArtisticProperty
1027639,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Compendio delle vite de Santi orefici e argentieri.,Compendio delle vite de Santi orefici e argentieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218775_292947.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900227080,HistoricOrArtisticProperty
1027640,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Compendio delle vite de Santi orefici e argentieri.,Compendio delle vite de Santi orefici e argentieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218795_292877.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900227090,HistoricOrArtisticProperty
1027641,BOOK,Where does the page come from?,The cultural asset is taken from the work: Compendio delle vite de Santi orefici e argentieri.,Compendio delle vite de Santi orefici e argentieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218799_292992.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900227092,HistoricOrArtisticProperty
1027642,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217899_443032.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306169-0,HistoricOrArtisticProperty
1027643,BOOK,Where does the page come from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217902_443038.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306169-2,HistoricOrArtisticProperty
1027644,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217904_443044.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306170,HistoricOrArtisticProperty
1027645,BOOK,Where does the page come from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentini restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217909_443028.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306171-2,HistoricOrArtisticProperty
1027646,BOOK,Where does the page come from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentium restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentium restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217911_443031.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306171-3,HistoricOrArtisticProperty
1027647,BOOK,Where was it extracted from?,The cultural asset is taken from the work: Missale romanum ex decreto Sacrosancti Concilii tridentium restitutum editio recens ..,Missale romanum ex decreto Sacrosancti Concilii tridentium restitutum editio recens ..,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5217913_443030.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900306171-4,HistoricOrArtisticProperty
