Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
1134209,CLIENT,By whom was it commissioned?,The cultural asset was commissioned by Suor Laura Giustini.,Suor Laura Giustini,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602315_SBAS%20RM%2069734.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200097037,HistoricOrArtisticProperty
1134210,CLIENT,Who's the buyer?,The cultural asset was commissioned by Suor Margherita Gualteruzzi.,Suor Margherita Gualteruzzi,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602311_SBAS%20RM%2069713.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200097035,HistoricOrArtisticProperty
1134211,CLIENT,If and by whom was it commissioned?,The cultural asset was commissioned by Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598591_SBAS%20RM%20143283.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232035,HistoricOrArtisticProperty
1134212,CLIENT,Who's the buyer?,The cultural asset was commissioned by Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598667_SBAS%20RM%20143752.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232069,HistoricOrArtisticProperty
1134213,CLIENT,Who commissioned it?,The cultural asset was commissioned by Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598671_SBAS%20RM%20143747.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232071-2,HistoricOrArtisticProperty
1134214,CLIENT,Was it done on commission?,The cultural asset was commissioned by Guardi Camillo.,Guardi Camillo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603397_SBAS%20RM%20SI%203146.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200262168,HistoricOrArtisticProperty
1134215,CLIENT,Who commissioned it?,The cultural asset was commissioned by Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-0,HistoricOrArtisticProperty
1134216,CLIENT,Was it done on commission?,The cultural asset was commissioned by Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-1,HistoricOrArtisticProperty
1134217,CLIENT,Who was the client?,The cultural asset was commissioned by Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-2,HistoricOrArtisticProperty
1134218,CLIENT,Who commissioned it?,The cultural asset was commissioned by Angelo Paluzzi E Paluzzo Degli Albertoni-altieri.,Angelo Paluzzi E Paluzzo Degli Albertoni-altieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598658_SBAS%20RM%20143791.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232066-1,HistoricOrArtisticProperty
1134219,CLIENT,Who was the client?,The cultural asset was commissioned by Angelo Paluzzi E Paluzzo Degli Albertoni-altieri.,Angelo Paluzzi E Paluzzo Degli Albertoni-altieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598663_SBAS%20RM%20143755.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232067,HistoricOrArtisticProperty
1134220,CLIENT,Is this a commission job?,The cultural asset was commissioned by Card. Truchses Otto.,Card. Truchses Otto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603236_SBAS%20RM%20130576.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232815,HistoricOrArtisticProperty
1134221,CLIENT,Who's a commission agent?,"The cultural asset was commissioned by Capranica Del Grillo, Marchese.","Capranica Del Grillo, Marchese",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602415_SBAS%20RM%20112654.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200183683,HistoricOrArtisticProperty
1134222,CLIENT,Who was the client?,The cultural asset was commissioned by Pallavicini Ottavio.,Pallavicini Ottavio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603658_SBAS%20RM%20160887.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200704562,HistoricOrArtisticProperty
1134223,CLIENT,Who commissioned it?,The cultural asset was commissioned by Querini Angelo Maria Cardinale.,Querini Angelo Maria Cardinale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603714_SBAS%20RM%20160895.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200704592,HistoricOrArtisticProperty
