Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
2831502,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Arte nelle fotografie di Palazzo Pepoli Campogrande  took place in Palazzo Pepoli Campogrande.,Palazzo Pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5518137_00235413.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800391706,PhotographicHeritage
2831503,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Arte nelle fotografie di Palazzo Pepoli Campogrande  took place in Palazzo pepoli Campogrande.,Palazzo pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5518139_00235414.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800391707,PhotographicHeritage
2831504,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Archivi fotografici delle Soprintendenze (per exempla)  took place in Palazzo Pepoli Campogrande.,Palazzo Pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1058894/ICCD13589490_00254860.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800391974,PhotographicHeritage
2831505,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Archivi fotografici delle Soprintendenze (per exempla)  took place in Palazzo pepoli Campogrande.,Palazzo pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1058894/ICCD13589635_00254733.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800366360,PhotographicHeritage
2831506,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Archivi fotografici delle Soprintendenze (per exempla)  took place in Palazzo Pepoli Campogrande.,Palazzo Pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1005566/ICCD10708372_P_000007.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800265622,PhotographicHeritage
2831507,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Archivi fotografici delle Soprintendenze (per exempla)  took place in Palazzo Pepoli Campogrande.,Palazzo Pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1005566/ICCD10708305_P_000006.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800265621,PhotographicHeritage
2831508,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Archivi fotografici delle Soprintendenze (per exempla)  took place in Palazzo pepoli Campogrande.,Palazzo pepoli Campogrande,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1058894/ICCD13589826_00254825.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800366431,PhotographicHeritage
2831509,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Lo spazio il tempo e le opere. Il catalogo del bene culturale  took place in Pinacoteca Nazionale.,Pinacoteca Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5518091_00235390.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800391683,PhotographicHeritage
2831510,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Un catalogo per immagini  took place in Palazzo Chiablese.,Palazzo Chiablese,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1038644/ICCD13334804_0100262149.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100262149,PhotographicHeritage
2831511,EVENTSITE,Where did the cultural event related to cultural asset take place?,The cultural event Un catalogo per immagini  took place in Palazzo Chiablese.,Palazzo Chiablese,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1038644/ICCD13334798_0100262147.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100262147,PhotographicHeritage
