Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
2852862,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Storico Civico.,Museo Storico Civico,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13337695__I%20SATA_9618.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600012784,ArchaeologicalProperty
2852863,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324517__I%20SA%20TA%202140.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600002124,ArchaeologicalProperty
2852864,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324568__I%20SA%20TA%202183.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600002166,ArchaeologicalProperty
2852865,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324583__I%20SA%20TA%203172.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600008156,ArchaeologicalProperty
2852866,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324621__I%20SA%20TA%203184.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600008168,ArchaeologicalProperty
2852867,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324637__I%20SA%20TA%203230.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600008212,ArchaeologicalProperty
2852868,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13324669__I%20SA%20TA%203450.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600008427,ArchaeologicalProperty
2852869,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13338013__I%20SATA_22061.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600012980,ArchaeologicalProperty
2852870,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13338022__I%20SATA_22057.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600012983,ArchaeologicalProperty
2852871,FOUNDLOCATION,Where was it found?,The cultural asset comes from the Museo Archeologico Nazionale.,Museo Archeologico Nazionale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039335/ICCD13338028__I%20SATA_22008%2D09.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/1600012985,ArchaeologicalProperty
