Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
4245949,MOTIVATION,On what occasion?,The cultural asset was commissioned for the Founder's memory.,Memorial of the Founder,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4604025_PSAE%20RM%20238.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200953972,HistoricOrArtisticProperty
4245950,MOTIVATION,Why was it realized?,"The cultural asset was commissioned for the consolidation of the apse, remaking of the decoration.","Consolidation of the apse, remaking of the decoration",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603236_SBAS%20RM%20130576.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232815,HistoricOrArtisticProperty
4245951,MOTIVATION,On what occasion?,The cultural asset was commissioned for the decoration of the transept.,Decoration of the transept,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598591_SBAS%20RM%20143283.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232035,HistoricOrArtisticProperty
4245952,MOTIVATION,For what purpose has the work been carried out?,The cultural asset was commissioned for his wife's death.,Death of the Wife,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-0,HistoricOrArtisticProperty
4245953,MOTIVATION,On what occasion?,The cultural asset was commissioned for his wife's death.,Death of the Wife,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-1,HistoricOrArtisticProperty
4245954,MOTIVATION,Why was it created?,The cultural asset was commissioned for his wife's death.,Death of the Wife,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-2,HistoricOrArtisticProperty
4245955,MOTIVATION,Why was it created?,The cultural asset was commissioned for the restoration of the apse.,Restoration apse,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603397_SBAS%20RM%20SI%203146.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200262168,HistoricOrArtisticProperty
4245956,MOTIVATION,Why was it created?,The cultural asset was commissioned for the restoration of the chapel.,Chapel Restoration,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602415_SBAS%20RM%20112654.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200183683,HistoricOrArtisticProperty
4245957,MOTIVATION,Why was it created?,The cultural asset was commissioned for the closing of the market loggia.,Closing of the market loggia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10700776_SSPSAEPM%20FI%2024216.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281522-0,HistoricOrArtisticProperty
4245958,MOTIVATION,For what purpose has the work been carried out?,The cultural asset was commissioned for the memorial.,Memorial,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1016444/ICCD11157836_PMVE66591.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677561OA,HistoricOrArtisticProperty
4245959,MOTIVATION,On what occasion?,The cultural asset was commissioned for the memorial.,Memorial,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578035_SBAS%20RM%20123557.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762339A,HistoricOrArtisticProperty
4245960,MOTIVATION,For what purpose has the work been carried out?,The cultural asset was commissioned for the construction of the church.,Church building,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701983_SSPSAEPM%20FI%2024719.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291957,HistoricOrArtisticProperty
4245961,MOTIVATION,Why was it created?,The cultural asset was commissioned for the construction of the church.,Church building,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10702001_SSPSAEPM%20FI%2024728.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291967,HistoricOrArtisticProperty
4245962,MOTIVATION,Why was it created?,The cultural asset was commissioned for the construction of the Church of Orsanmichele.,Construction Church of Orsanmichele,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701505_SSPSAEPM%20FI%2024224.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291740,HistoricOrArtisticProperty
4245963,MOTIVATION,On what occasion?,The cultural asset was commissioned for the construction of the Church of Orsanmichele.,Construction Church of Orsanmichele,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701921_SSPSAEPM%20FI%2024687.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291923,HistoricOrArtisticProperty
4245964,MOTIVATION,On what occasion?,The cultural asset was commissioned for the construction of the upper floors of the church.,Construction of the upper floors of the church,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10702015_SSPSAEPM%20FI%2027156.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291977,HistoricOrArtisticProperty
4245965,MOTIVATION,For what purpose has the work been carried out?,The cultural asset was commissioned for the construction of niche and statue of the Court outside Orsanmichele.,Niche construction and statue of the Court outside Orsanmichele,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701901_SSPSAEPM%20FI%2042172.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291916,HistoricOrArtisticProperty
4245966,MOTIVATION,Why was it realized?,The cultural asset was commissioned for the construction of niche and art statue outside Orsanmichele.,Niche construction and statue of Art outside Orsanmichele,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701874_SSPSAEPM%20FI%2024671.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291907,HistoricOrArtisticProperty
4245967,MOTIVATION,On what occasion?,The cultural asset was commissioned for the decoration of the exterior of the church of Orsanmichele.,Decoration of the outside of the church of Orsanmichele,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701967_SSPSAEPM%20FI%2024711.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291948,HistoricOrArtisticProperty
4245968,MOTIVATION,Why was it realized?,The cultural asset was commissioned for publication.,Publication,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1035962/ICCD12200388_DIG02553.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100211816-3,HistoricOrArtisticProperty
4245969,MOTIVATION,Why was it realized?,The cultural asset was commissioned for publication.,Publication,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1035962/ICCD12200392_DIG02540.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100211816-5,HistoricOrArtisticProperty
4245970,MOTIVATION,Why was it commissioned?,The cultural asset was commissioned for publication.,Publication,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1035962/ICCD12200416_DIG02570.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100211818-5,HistoricOrArtisticProperty
