Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
4888279,PURPOSE,For what purpose has it been achieved?,"The cultural asset has a residential, military and civil function.","Dwelling, military, civilian",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1031363/ICCD12009007_1504D%2Dmura%20poligonali.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/1400024271,ArchaeologicalProperty
4888280,PURPOSE,For what purpose was it created?,The cultural asset has a defensive function.,Defensive,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13670291_0500644708_Gallieno.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644708,ArchaeologicalProperty
4888281,PURPOSE,Why was it realized?,The cultural asset has a civil function.,Civil,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039319/ICCD13695229_cassia_via_pescara.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/1201339421,ArchaeologicalProperty
4888282,PURPOSE,Was the work for anything?,The cultural asset has a cultural function.,Cultural,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13590472_MA_00157065.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157065,ArchaeologicalProperty
4888283,PURPOSE,Was the work for anything?,The cultural asset has a cultural function.,Cultural,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582711_MA_00157082.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157082,ArchaeologicalProperty
4888284,PURPOSE,Why was it realized?,The cultural asset has a cultural function.,Cultural,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13581966_CA_00158188.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158188,ArchaeologicalProperty
4888285,PURPOSE,What was the object's function?,The cultural asset has military function.,Military,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582723_CA_00158097.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158097,ArchaeologicalProperty
4888286,PURPOSE,What is the purpose to be met?,The cultural asset has military function.,Military,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582691_CA_00157029.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157029,ArchaeologicalProperty
4888287,PURPOSE,What was the object's function?,The cultural asset has a residential function.,Dwelling,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13650169_0500686739_Valdonega.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500686739,ArchaeologicalProperty
4888288,PURPOSE,What's the point?,The cultural asset has a residential function.,Dwelling,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13585362_MA_00158040.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158040,ArchaeologicalProperty
