Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469212_DISPACFP_IN_212.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818886,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469327_DISPACFP_IN_249.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500819307,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1005566/ICCD10708364_P_000004.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800265619,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5516469_00236972.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800392506,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1010085/ICCD10239048_FP_ED_NE_515.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818212,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5516455_00236965.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800392499,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756030_5945f.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559784,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756144_6616.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559843,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039018/ICCD13577913_D00197805.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0300197805,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12506/ICCD2237041_00156213.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100168570,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12506/ICCD2237049_00156229.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100168574,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469325_DISPACFP_IN_248.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500819263,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756148_6618.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559845,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756376_6596.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559963,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756142_6615.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559842,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756368_6592.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559959,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756380_6598.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559965,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756396_6608.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559973,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1010085/ICCD10239044_FP_ED_NE_514.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818211,PhotographicHeritage
BLACKANDWHITE,È in bianco e nero o a colori?,Il bene culturale è a colori.,A colori,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10468478_FP_IN_27.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818524,PhotographicHeritage
