Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
CLIENT,Da chi è stato commissionato?,Il bene culturale è stato commissionato da Suor Laura Giustini.,Suor Laura Giustini,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602315_SBAS%20RM%2069734.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200097037,HistoricOrArtisticProperty
CLIENT,Chi è il committente?,Il bene culturale è stato commissionato da Suor Margherita Gualteruzzi.,Suor Margherita Gualteruzzi,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602311_SBAS%20RM%2069713.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200097035,HistoricOrArtisticProperty
CLIENT,Se e da chi è stato commissionato?,Il bene culturale è stato commissionato ad Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598591_SBAS%20RM%20143283.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232035,HistoricOrArtisticProperty
CLIENT,Chi è il committente?,Il bene culturale è stato commissionato ad Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598667_SBAS%20RM%20143752.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232069,HistoricOrArtisticProperty
CLIENT,Chi l'ha commissionato?,Il bene culturale è stato commissionato ad Altieri Angelo.,Altieri Angelo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598671_SBAS%20RM%20143747.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232071-2,HistoricOrArtisticProperty
CLIENT,È stato eseguito su commissione?,Il bene culturale è stato commissionato da Guardi Camillo.,Guardi Camillo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603397_SBAS%20RM%20SI%203146.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200262168,HistoricOrArtisticProperty
CLIENT,Chi l'ha commissionato?,Il bene culturale è stato commissionato da Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-0,HistoricOrArtisticProperty
CLIENT,È stato eseguito su commissione?,Il bene culturale è stato commissionato da Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-1,HistoricOrArtisticProperty
CLIENT,Chi è stato il committente?,Il bene culturale è stato commissionato da Ferdinando Di Lorensana.,Ferdinando Di Lorensana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-2,HistoricOrArtisticProperty
CLIENT,Chi l'ha commissionato?,Il bene culturale è stato commissionato da Angelo Paluzzi E Paluzzo Degli Albertoni-altieri.,Angelo Paluzzi E Paluzzo Degli Albertoni-altieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598658_SBAS%20RM%20143791.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232066-1,HistoricOrArtisticProperty
