Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Carlo Serratrice.,Carlo Serratrice,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039285/ICCD13247595_00045348.jpg,https://w3id.org/arco/resource/MusicHeritage/0100031125,MusicHeritage
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Carlo Serratrice.,Carlo Serratrice,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039285/ICCD13247607_00049196.jpg,https://w3id.org/arco/resource/MusicHeritage/0100034456,MusicHeritage
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Sergio Vecchio.,Sergio Vecchio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2926755_0081_96253261_1113_IMG0077.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100133131,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Mancini Salvatore Emidio.,Mancini Salvatore Emidio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2926572_13823.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138422,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Mancini Salvatore Emidio.,Mancini Salvatore Emidio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2926572_13823.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100132726,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Domenico Morelli.,Domenico Morelli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927105_14026.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138529,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Domenico Ferri.,Domenico Ferri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927232_14106.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138589,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Ver Cruys Johannes.,Ver Cruys Johannes,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927292_13691.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138619,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Prampolini Enrico.,Prampolini Enrico,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2926819_0063_96253261_1092_IMG0014.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100133709,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Caccio Luciano.,Caccio Luciano,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2926743_0079_96253261_1111_IMG0088.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100133023,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Filippo Agricola.,Filippo Agricola,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927061_13980.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138508,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Cesare Mariani.,Cesare Mariani,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927111_14029.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138532,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Cesare Mariani.,Cesare Mariani,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927123_14035.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138538,HistoricOrArtisticProperty
AFFIXEDAUTHOR,Chi è l'autore dell'elemento affisso al bene culturale?,L'autore dell'iscrizione affissa al bene culturale è Luigi Leporini.,Luigi Leporini,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2927280_14143.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100138613,HistoricOrArtisticProperty
