Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
2809351,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to Monache del monastero di S. Vincenzo di Prato.,Monache del monastero di S. Vincenzo di Prato,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218781_292942.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900227083,HistoricOrArtisticProperty
2809352,DEDICATION,Is it dedicated to anyone?,The cultural asset is dedicated to Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218597_294844.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467C,HistoricOrArtisticProperty
2809353,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218607_294930.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467H,HistoricOrArtisticProperty
2809354,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218603_295004.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467F,HistoricOrArtisticProperty
2809355,DEDICATION,Is it dedicated to anyone?,The cultural asset is dedicated to Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218593_295006.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467A,HistoricOrArtisticProperty
2809356,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358894_S%2DG1050%2D00275_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-2,HistoricOrArtisticProperty
2809357,DEDICATION,Is it dedicated to anyone?,The cultural asset is dedicated to Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358918_S%2DG1050%2D00287_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-14,HistoricOrArtisticProperty
2809358,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358942_S%2DG1050%2D00299_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-26,HistoricOrArtisticProperty
2809359,DEDICATION,Is it dedicated to anyone?,The cultural asset is dedicated to Marietti Giuseppe.,Marietti Giuseppe,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11360358_S%2DG1050%2D00657_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301942050,HistoricOrArtisticProperty
2809360,DEDICATION,Who is it dedicated to?,The cultural asset is dedicated to D'Adda Febo.,D'Adda Febo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11360882_S%2DG1050%2D00895_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301969046,HistoricOrArtisticProperty
