Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
6467427,USECONDITIONS,How is cultural asset used?,Application of the heated cup on the patient's body.,Application of the heated cup on the patient's body,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1009104/ICCD11175624_721_coppetta_salasso.JPG,https://w3id.org/arco/resource/ScientificOrTechnologicalHeritage/0900772119,ScientificOrTechnologicalHeritage
6467428,USECONDITIONS,How is cultural asset used?,Application of the heated cup on the patient's body.,Application of the heated cup on the patient's body,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1009104/ICCD11178611_718_coppetta_salasso.jpg,https://w3id.org/arco/resource/ScientificOrTechnologicalHeritage/0900772128,ScientificOrTechnologicalHeritage
6467429,USECONDITIONS,How is cultural asset used?,The tool is used to crowd or remove hay from the sheaves of the summer harvest.,The tool is used to pile or remove hay from the sheaves of the summer harvest,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537221_Z0018139.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024210,DemoEthnoAnthropologicalHeritage
6467430,USECONDITIONS,How is cultural asset used?,Container suitable to accept boiled milk for the formation of cheese. The milk placed there is pressed in such a way that from the special holes on the bottom comes out the curd and in part the serum.,Container suitable to accept boiled milk for the formation of cheese. The milk placed there is pressed in such a way that from the special holes on the bottom comes out the curd and in part the serum,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537225_Z0018141.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024212,DemoEthnoAnthropologicalHeritage
6467431,USECONDITIONS,How is cultural asset used?,It was used to cut pasta previously made in the form of tagliatelle.,It was used to cut pasta previously made in the form of tagliatelle,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537251_Z0018154.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024225,DemoEthnoAnthropologicalHeritage
6467432,USECONDITIONS,How is cultural asset used?,It was poured into the mortar the material (usually food) that you wanted to crush and with the pestle you repeatedly hit such material thus obtaining the desired effect.,It was poured into the mortar the material (usually food) that you wanted to crush and with the pestle you repeatedly hit such material obtaining the desired effect,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537255_Z0018156.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024227,DemoEthnoAnthropologicalHeritage
6467433,USECONDITIONS,How is cultural asset used?,It was poured into the mortar the material (usually food) that you wanted to crush and with the pestle you repeatedly hit such material thus obtaining the desired effect.,It was poured into the mortar the material (usually food) that you wanted to crush and with the pestle you repeatedly hit such material obtaining the desired effect,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537255_Z0018156.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024227A,DemoEthnoAnthropologicalHeritage
6467434,USECONDITIONS,How is cultural asset used?,He rubbed the top on the skin of the beast to be cleaned.,He rubbed the top on the skin of the beast to be cleaned,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537264_Z0018160.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024231,DemoEthnoAnthropologicalHeritage
6467435,USECONDITIONS,How is cultural asset used?,He repeatedly fought with the arched part the shrub that he desired to sever.,He repeatedly fought with the arched part the shrub that he wanted to sever,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537278_Z0018167.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024238,DemoEthnoAnthropologicalHeritage
6467436,USECONDITIONS,How is cultural asset used?,It was put around the animal's neck and fixed to the plow or yoke.,It was put around the animal's neck and fixed to the plow or yoke,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537282_Z0018169.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024240,DemoEthnoAnthropologicalHeritage
6467437,USECONDITIONS,How is cultural asset used?,You put the cavity around the snout of the animal and you drive it with the bridles.,Stick the hollow around the snout of the animal and guide it with the bridles,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537284_Z0018170.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024241,DemoEthnoAnthropologicalHeritage
6467438,USECONDITIONS,How is cultural asset used?,Used as a water supply during long marches.,Used as a water supply during long marches,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537318_Z0018187.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024258,DemoEthnoAnthropologicalHeritage
6467439,USECONDITIONS,How is cultural asset used?,In the container was poured the boiled milk now firmed for ripening.,In the container was poured the boiled milk now firmed for ripening,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537338_Z0018197.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024268,DemoEthnoAnthropologicalHeritage
6467440,USECONDITIONS,How is cultural asset used?,The object was used as a measure of the grain in the mills or in the same farmhouses where the grain was harvested.,The object was used as a measure of the grain in the mills or in the same farmhouses where the grain was harvested,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537346_Z0018201.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024272,DemoEthnoAnthropologicalHeritage
6467441,USECONDITIONS,How is cultural asset used?,Hot water.,Filled with hot water,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537374_Z0018215.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024286,DemoEthnoAnthropologicalHeritage
6467442,USECONDITIONS,How is cultural asset used?,Consueta.,Consueta,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537380_Z0018218.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024289,DemoEthnoAnthropologicalHeritage
6467443,USECONDITIONS,How is cultural asset used?,"It was placed on top of the wrapper, filled with milk that was now squeezed for pressure.","It was placed on top of the wrapper, filled with milk that was now squeezed to make pressure",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537384_Z0018220.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024291,DemoEthnoAnthropologicalHeritage
6467444,USECONDITIONS,How is cultural asset used?,"The horn, filled with water, served as a container for the stone to sharpen the sickle. The tool was hung through the appropriate hook to a buckle of the owner's belt.","The horn, filled with water, served as a container for the stone to sharpen the sickle. The tool was hung through the appropriate hook to a buckle of the owner's belt",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537394_Z0018225.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024296,DemoEthnoAnthropologicalHeritage
6467445,USECONDITIONS,How is cultural asset used?,"Filled with the material you wanted to carry, you grabbed the tool with both hands to the respective handles and, lifting it, leaned the part of the raised edge either on the shoulder or on the thighs.","Filled with the material you wanted to carry, you grabbed the tool with both hands to the respective handles and, lifting it, leaned the part of the raised edge either on the shoulder or on the thighs",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537410_Z0018233.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024304,DemoEthnoAnthropologicalHeritage
6467446,USECONDITIONS,How is cultural asset used?,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace.,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537434_Z0018604.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024453,DemoEthnoAnthropologicalHeritage
6467447,USECONDITIONS,How is cultural asset used?,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace.,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537436_Z0018605.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024454,DemoEthnoAnthropologicalHeritage
6467448,USECONDITIONS,How is cultural asset used?,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace.,The thread is wrapped around the fuse in the space between the two washers. By moving the fuse you get the formation of the lace,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537440_Z0018607.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024456,DemoEthnoAnthropologicalHeritage
6467449,USECONDITIONS,How is cultural asset used?,"The flour was preserved there, keeping the container closed with a lid.","The flour was preserved there, keeping the container closed with a lid.",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537669_Z0020055.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025069,DemoEthnoAnthropologicalHeritage
6467450,USECONDITIONS,How is cultural asset used?,"A strong slash on the rabbit's head vibrates, killing him instantly.","A strong slash on the rabbit's head vibrates, killing him instantly.",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537679_Z0020060.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025074,DemoEthnoAnthropologicalHeritage
6467451,USECONDITIONS,How is cultural asset used?,"It holds in the bar that joins the two protuberances of the table. The arm is stretched out along the body, rotates the wrist that moves the needles placed on the table, causing the noise with the slap they make.","It holds itself in the bar that joins the two protuberances of the table. The arm is stretched out along the body, rotates the wrist that moves the irons placed on the table, causing the noise with the slap they make",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537723_Z0020082.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025096,DemoEthnoAnthropologicalHeritage
6467452,USECONDITIONS,How is cultural asset used?,"The upper is closely attached to the shape with nails. Then as you sew the gardone or gardolo, all around, you remove the nails and go forward with the seam.","The upper is closely attached to the shape with nails. Then as you sew the gardone or gardolo, all around, you remove the nails and go forward with the seam.",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537727_Z0020084.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025098,DemoEthnoAnthropologicalHeritage
6467453,USECONDITIONS,How is cultural asset used?,"The man must rotate the top (vault) of the corrected over the head, before vibrate the blow on the grain lying at his feet. It is important to assume a certain rhythm.","The man must rotate the top (vault) of the corrected over the head, before vibrate the blow on the grain lying at his feet. It is important to assume a certain rhythm",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537731_Z0020086.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025100,DemoEthnoAnthropologicalHeritage
6467454,USECONDITIONS,How is cultural asset used?,The lumberjack kept the dust there to mark the log to saw.,The lumberjack kept the dust there to mark the log to saw,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537733_Z0020087.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025101,DemoEthnoAnthropologicalHeritage
6467455,USECONDITIONS,How is cultural asset used?,The housewife used it at home to determine the amount of flour to be used.,The housewife used it at home to determine the amount of flour to be used,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537735_Z0020088.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025102,DemoEthnoAnthropologicalHeritage
6467456,USECONDITIONS,How is cultural asset used?,Moving the rod along the surface the nail leaves the track to follow.,Moving the rod along the surface the nail leaves the track to follow,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537747_Z0020094.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025108,DemoEthnoAnthropologicalHeritage
6467457,USECONDITIONS,How is cultural asset used?,Consueta.,Consueta,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537753_Z0020097.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700025111,DemoEthnoAnthropologicalHeritage
6467458,USECONDITIONS,How is cultural asset used?,"It holds for the handle and is placed on the piece to be worked keeping it slightly oblique compared to it; it moves back and forth with the simple movement of the arms, pairing it with the body.","It holds for the handle and is placed on the piece to be worked keeping it slightly oblique compared to it; it moves back and forth with the simple movement of the arms, pairing it with the body",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5745692_055e2pod.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900481320,DemoEthnoAnthropologicalHeritage
6467459,USECONDITIONS,How is cultural asset used?,"The animal is immobilized in a 'travel', the legs are tied and the ironing is carried out by laying on the hem the newly forged iron, adapting it to the anatomy of the hoof with the fingernail knife; then the iron is fixed with the nails.","The animal is immobilized in a 'travel', the legs are tied and the ironing is carried out by laying on the hem of the newly forged iron, adapting it to the anatomy of the hoof with the fingernail knife; then the iron is fixed with the nails.",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5745836_05bmm0en.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900481392,DemoEthnoAnthropologicalHeritage
6467460,USECONDITIONS,How is cultural asset used?,"It immobilizes the animal in a labor, tie its legs and proceed to the ironing laying on the hem plant the newly forged iron, adapting it to the anatomy of the hoof with the fingernail knife; it was then fixed with the nails.","The animal is immobilized in a labour, the legs are tied and the ironing is carried out by laying on the hem the newly forged iron, adapting it to the anatomy of the hoof with the fingernail knife; it was then fixed with the nails",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5745858_05bmm2ch.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900481403,DemoEthnoAnthropologicalHeritage
6467461,USECONDITIONS,How is cultural asset used?,She put a candle inside.,She put a candle inside.,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5743921_30049c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560287,DemoEthnoAnthropologicalHeritage
6467462,USECONDITIONS,How is cultural asset used?,It was leaning in the toilet over the jug and under the canister.,It was placed in the toilet on top of the jug and under the cans,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5743971_30070c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560305,DemoEthnoAnthropologicalHeritage
6467463,USECONDITIONS,How is cultural asset used?,He pushed the tool on the lawn one way and the other.,He pushed the tool on the lawn one way and the other.,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744102_30172c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560394,DemoEthnoAnthropologicalHeritage
6467464,USECONDITIONS,How is cultural asset used?,The plug was attached to the power outlet and the warmer was inserted under the blankets.,The plug was attached to the power socket and the warmer was inserted under the blankets.,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744138_30193c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560408,DemoEthnoAnthropologicalHeritage
6467465,USECONDITIONS,How is cultural asset used?,The pot was used to store water or liquids.,The pot was used to store water or liquids,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744145_30197c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560411,DemoEthnoAnthropologicalHeritage
6467466,USECONDITIONS,How is cultural asset used?,It's on the scale.,Positioning on the scale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744155_30202c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560412-4,DemoEthnoAnthropologicalHeritage
6467467,USECONDITIONS,How is cultural asset used?,"The coffee was inserted inside the grinder and the crank turned that put a blade. From the bottom, opening a small door, the ground coffee came out.","The coffee was inserted inside the grinder and the crank turned that put a blade. From the bottom, opening a small door, the ground coffee came out.",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744178_30215c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560421,DemoEthnoAnthropologicalHeritage
6467468,USECONDITIONS,How is cultural asset used?,The farmer maneuvered directly the machine equipped with a motor. It proceeded in a straight line.,The peasant maneuvered directly the machine equipped with a motor. It proceeded in a straight line,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5744223_30239c.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0900560442,DemoEthnoAnthropologicalHeritage
6467469,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590635_0001412e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054888,DemoEthnoAnthropologicalHeritage
6467470,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590637_0001413e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054889,DemoEthnoAnthropologicalHeritage
6467471,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590647_0001418e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054894,DemoEthnoAnthropologicalHeritage
6467472,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590673_0001431e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054907,DemoEthnoAnthropologicalHeritage
6467473,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590687_0001438e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054914,DemoEthnoAnthropologicalHeritage
6467474,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590701_0001445e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054921,DemoEthnoAnthropologicalHeritage
6467475,USECONDITIONS,How is cultural asset used?,He held himself with his left hand and around the swelling he wrapped the fiber to be spun.,He grabbed himself with his left hand and around the swelling he wrapped the fiber to be spun,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5590725_0001457e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800054933,DemoEthnoAnthropologicalHeritage
