Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato alle Monache del monastero di S. Vincenzo di Prato.,Monache del monastero di S. Vincenzo di Prato,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218781_292942.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900227083,HistoricOrArtisticProperty
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato a Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218597_294844.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467C,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218607_294930.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467H,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218603_295004.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467F,HistoricOrArtisticProperty
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato a Pacini Giovanni maestro compositore cavaliere.,Pacini Giovanni maestro compositore cavaliere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5218593_295006.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900114467A,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358894_S%2DG1050%2D00275_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-2,HistoricOrArtisticProperty
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato a Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358918_S%2DG1050%2D00287_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-14,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a Napoleone III.,Napoleone III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11358942_S%2DG1050%2D00299_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300649067-26,HistoricOrArtisticProperty
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato a Marietti Giuseppe.,Marietti Giuseppe,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11360358_S%2DG1050%2D00657_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301942050,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a D'Adda Febo.,D'Adda Febo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11360882_S%2DG1050%2D00895_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301969046,HistoricOrArtisticProperty
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato a Pio VI papa.,Pio VI papa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11360408_S%2DG1050%2D00681_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0301942071,HistoricOrArtisticProperty
