Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nelle Gallerie Fiorentine.,Gallerie Fiorentine,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059458/ICCD13765565_557209.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900641408,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,"Il bene culturale è esposto in via Vinzaglio, 27.","Via Vinzaglio, 27",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1062788/ICCD14027194_24311c.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900536880,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nel Museo di S. Marco.,Museo di S. Marco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059458/ICCD13765884_1890%206281%20%2D%2D563022.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900642278,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nel Museo di S. Marco.,Museo di S. Marco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1038920/ICCD13107090_020253.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900286842,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nel Museo di S. Marco.,Museo di S. Marco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059458/ICCD13764901_007480.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281747-2,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nel Museo Mediceo.,Museo Mediceo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059458/ICCD13766096_1890%208328%20%2D%2D558140.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900644011,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nella Galleria Palatina e Appartamenti Reali.,Galleria Palatina e Appartamenti Reali,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1030184/ICCD11732485_006482.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281767-2,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto nelle Collezioni sabaude.,Collezioni sabaude,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1003351/ICCD10055651_DIA04464.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100350783,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,Il bene culturale è esposto a Palazzo Pitti e Giardino di Boboli.,Palazzo Pitti e Giardino di Boboli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059264/ICCD13665290_329212.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900289273,HistoricOrArtisticProperty
EXHIBITION_LOCATION,Dov'è esposta l'opera?,"Il bene culturale è esposto nel Museo del Cenacolo di Fuligno, deposito delle Gallerie.","Museo del Cenacolo di Fuligno, deposito delle Gallerie",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059458/ICCD13702380_1881%20745%20%2D%2D557200.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900642339,HistoricOrArtisticProperty
