Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per la memoria del Fondatore.,Commemorazione del Fondatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4604025_PSAE%20RM%20238.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200953972,HistoricOrArtisticProperty
MOTIVATION,Perché è stato realizzato?,"Il bene culturale è stato commissionato per il consolidamento dell'abside, rifacimento della decorazione.","Consolidamento dell'abside, rifacimento della decorazione",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603236_SBAS%20RM%20130576.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232815,HistoricOrArtisticProperty
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per la decorazione del transetto.,Decorazione del transetto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598591_SBAS%20RM%20143283.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200232035,HistoricOrArtisticProperty
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per la morte della moglie.,Morte della moglie,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-0,HistoricOrArtisticProperty
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per la morte della moglie.,Morte della moglie,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-1,HistoricOrArtisticProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per la morte della moglie.,Morte della moglie,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4598462_SBAS%20RM%20143314.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200231979-2,HistoricOrArtisticProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per il restauro abside.,Restauro abside,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4603397_SBAS%20RM%20SI%203146.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200262168,HistoricOrArtisticProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per il restauro della cappella.,Restauro cappella,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4602415_SBAS%20RM%20112654.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200183683,HistoricOrArtisticProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per la chiusura della loggia di mercato.,Chiusura della loggia-mercato,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10700776_SSPSAEPM%20FI%2024216.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281522-0,HistoricOrArtisticProperty
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per la commemorazione.,Commemorazione,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1016444/ICCD11157836_PMVE66591.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677561OA,HistoricOrArtisticProperty
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per la commemorazione.,Commemorazione,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578035_SBAS%20RM%20123557.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762339A,HistoricOrArtisticProperty
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per la costruzione della chiesa.,Costruzione chiesa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10701983_SSPSAEPM%20FI%2024719.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291957,HistoricOrArtisticProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per la costruzione della chiesa.,Costruzione chiesa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1017804/ICCD10702001_SSPSAEPM%20FI%2024728.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900291967,HistoricOrArtisticProperty
