Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
PURPOSE,A che scopo è stata realizzata?,"Il bene culturale ha una funzione residenziale, militare e civile.","Abitativa, militare, civile",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1031363/ICCD12009007_1504D%2Dmura%20poligonali.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/1400024271,ArchaeologicalProperty
PURPOSE,Per quale scopo è stata creata?,Il bene culturale ha una funzione difensiva.,Difensiva,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13670291_0500644708_Gallieno.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644708,ArchaeologicalProperty
PURPOSE,Per quale motivo è stato realizzato?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039319/ICCD13695229_cassia_via_pescara.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/1201339421,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13590472_MA_00157065.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157065,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582711_MA_00157082.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157082,ArchaeologicalProperty
PURPOSE,Per quale motivo è stato realizzato?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13581966_CA_00158188.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158188,ArchaeologicalProperty
PURPOSE,Che funzione aveva l'oggetto?,Il bene culturale ha funzione militare.,Militare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582723_CA_00158097.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158097,ArchaeologicalProperty
PURPOSE,Quale è la finalità cui doveva rispondere?,Il bene culturale ha funzione militare.,Militare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582691_CA_00157029.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157029,ArchaeologicalProperty
PURPOSE,Che funzione aveva l'oggetto?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13650169_0500686739_Valdonega.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500686739,ArchaeologicalProperty
PURPOSE,Che funzione ha?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13585362_MA_00158040.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158040,ArchaeologicalProperty
PURPOSE,Qual è la funzione?,Il bene culturale ha una funzione difensiva.,Difensiva,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13670324_0500644902_MuraTeod_Cosimo.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644902,ArchaeologicalProperty
PURPOSE,Per quale scopo è stata creata?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13573596_MA_00157026.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157026,ArchaeologicalProperty
PURPOSE,Quale è la finalità cui doveva rispondere?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13570769_CA_00157119.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157119,ArchaeologicalProperty
PURPOSE,A quale scopo è stata realizzata?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039319/ICCD13705323_via_delle_botteghe.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/1201339464,ArchaeologicalProperty
PURPOSE,Quale è la finalità cui doveva rispondere?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1036788/ICCD13497007_Cattura.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0700263728,ArchaeologicalProperty
PURPOSE,Per quale motivo è stato realizzato?,Il bene culturale ha una funzione civile.,Civile,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13670341_0500644748_Curia.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644748,ArchaeologicalProperty
PURPOSE,A che scopo è stata realizzata?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13581987_MA_00158345.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158345,ArchaeologicalProperty
PURPOSE,Che funzione ha?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582758_MA_0000158690.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158690,ArchaeologicalProperty
PURPOSE,Che funzione ha?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13590470_MA_00158394.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158935,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13664737_0500644879_GioveLustrale.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644879,ArchaeologicalProperty
PURPOSE,Qual è la rilevanza artistico-culturale di questa opera d'arte?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582137_MA_00158238.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158238,ArchaeologicalProperty
PURPOSE,Che funzione aveva l'oggetto?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582222_MA_00158484.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158484,ArchaeologicalProperty
PURPOSE,Qual è la rilevanza artistico-culturale di questa opera d'arte?,Il bene culturale ha funzione militare.,Militare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582662_MA_00157028.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157028,ArchaeologicalProperty
PURPOSE,A quale scopo è stata realizzata?,Il bene culturale ha funzione militare.,Militare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13582674_MA_00158412.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158412,ArchaeologicalProperty
PURPOSE,Per quale scopo è stata creata?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13585333_MA_00157115.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157115,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13589284_MA_00158518.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600158518,ArchaeologicalProperty
PURPOSE,Per quale scopo è stata creata?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13590462_MA_00157005.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157005,ArchaeologicalProperty
PURPOSE,Che funzione aveva l'oggetto?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13585356_MA_00157016.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157016,ArchaeologicalProperty
PURPOSE,Qual è la rilevanza artistico-culturale di questa opera d'arte?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13589842_MA_00157075.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157075,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13670260_0500644763_Viviani.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500644763,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1059114/ICCD13659874_0500685218_Mazzini48.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0500685218,ArchaeologicalProperty
PURPOSE,Perché è stato creato?,Il bene culturale ha una funzione culturale.,Cultuale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1038871/ICCD13672520_61169%2D1.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0700309317,ArchaeologicalProperty
PURPOSE,Che funzione ha?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13588432_MA_00157015.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157015,ArchaeologicalProperty
PURPOSE,Perché è stato creato?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13588980_MA_00157018.JPG,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157018,ArchaeologicalProperty
PURPOSE,L'opera serviva a qualcosa?,Il bene culturale ha una funzione abitativa.,Abitativa,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1057236/ICCD13589389_MA_00157112.jpg,https://w3id.org/arco/resource/ArchaeologicalProperty/0600157112,ArchaeologicalProperty
