Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
USECONDITIONS,Come si usa il bene culturale?,Applicazione della coppetta riscaldata sul corpo del paziente.,Applicazione della coppetta riscaldata sul corpo del paziente,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1009104/ICCD11175624_721_coppetta_salasso.JPG,https://w3id.org/arco/resource/ScientificOrTechnologicalHeritage/0900772119,ScientificOrTechnologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Applicazione della coppetta riscaldata sul corpo del paziente.,Applicazione della coppetta riscaldata sul corpo del paziente,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1009104/ICCD11178611_718_coppetta_salasso.jpg,https://w3id.org/arco/resource/ScientificOrTechnologicalHeritage/0900772128,ScientificOrTechnologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,L'utensile serve per ammucchiare o per asportare dai covoni il fieno del raccolto estivo.,L'utensile serve per ammucchiare o per asportare dai covoni il fieno del raccolto estivo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537221_Z0018139.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024210,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Contenitore atto ad accogliere il latte bollito per la formazione del formaggio. Il latte ivi posto viene pressato in tal modo che dagli appositi fori sul fondo esca la cogliata ed in parte il siero.,Contenitore atto ad accogliere il latte bollito per la formazione del formaggio. Il latte ivi posto viene pressato in tal modo che dagli appositi fori sul fondo esca la cogliata ed in parte il siero,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537225_Z0018141.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024212,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Veniva usato per tagliare la pasta precedentemente fatta a forma di tagliatelle.,Veniva usato per tagliare la pasta precedentemente fatta a forma di tagliatelle,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537251_Z0018154.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024225,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Si versava all'interno del mortaio il materiale (di solito alimentare) che si desiderava frantumare e col pestello si colpiva ripetutamente tale materiale ottenendo così l'effetto desiderato.,Si versava all'interno del mortaio il materiale (di solito alimentare) che si desiderava frantumare e col pestello si colpiva ripetutamente tale materiale ottenendo così l'effetto desiderato,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537255_Z0018156.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024227,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Si versava all'interno del mortaio il materiale (di solito alimentare) che si desiderava frantumare e col pestello si colpiva ripetutamente tale materiale ottenendo così l'effetto desiderato.,Si versava all'interno del mortaio il materiale (di solito alimentare) che si desiderava frantumare e col pestello si colpiva ripetutamente tale materiale ottenendo così l'effetto desiderato,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537255_Z0018156.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024227A,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Si sfregava la parte superiore sulla pelle della bestia da pulire.,Si sfregava la parte superiore sulla pelle della bestia da pulire,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537264_Z0018160.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024231,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Si batteva ripetutamente con la parte arcuata l'arbusto che si desiderava recidere.,Si batteva ripetutamente con la parte arcuata l'arbusto che si desiderava recidere,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537278_Z0018167.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024238,DemoEthnoAnthropologicalHeritage
USECONDITIONS,Come si usa il bene culturale?,Veniva messa intorno al collo dell'animale e lo si fissava all'aratro o al giogo.,Veniva messa intorno al collo dell'animale e lo si fissava all'aratro o al giogo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD5537282_Z0018169.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0700024240,DemoEthnoAnthropologicalHeritage
