ID,Question,Answer,Short Answer,Depiction,CulturalProperty
BOOK,Da dove è stato estrapolato?,"Il bene culturale è tratto dall'opera: Liberazione di Tirreno e d'Arnea, autori del sangue toscano.","Liberazione di Tirreno e d'Arnea, autori del sangue toscano",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8404848_156919.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260610-0
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli.,Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816554_01CB0309.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299625-10
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli.,Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816558_01CB0311.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299625-12
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli.,Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816574_01CB0319.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299625-20
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli.,Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816582_01CB0323.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299625-24
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli.,Costumi della festa data da S. Maestà il di 20 feb.o 1854. Nella Reggia di Napoli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816552_01CB0308.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299625-9
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Descrizione e disegni della mascherata che intervenne al Real Teatro di S.Carlo il Carnevale dell'anno 1827. La sera de' 25 febbraio in occasione della gran festa di ballo.,Descrizione e disegni della mascherata che intervenne al Real Teatro di S.Carlo il Carnevale dell'anno 1827. La sera de' 25 febbraio in occasione della gran festa di ballo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007105/ICCD3816853_01CB0239.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500299628-17
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Giardino de' Pensieri.,Giardino de' Pensieri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11347631_S-3y010-00015_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300619097
BOOK,Da dove è tratta la pagina?,"Il bene culturale è tratto dall'opera: Histoire de Napoléon, tome premier.","Histoire de Napoléon, tome premier",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1024624/ICCD11362582_S-H0090-00293_01.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300639578
BOOK,Da dove è stato estrapolato?,"Il bene culturale è tratto dall'opera: Seruend'a chi la uita altrui dispenza/ l'huom di ciascun chi ha uita il regno ottiene/ com'a i cenni d'un putto humil sen uiene/ del aquila, e leon l'alta potenza.","Seruend'a chi la uita altrui dispenza/ l'huom di ciascun chi ha uita il regno ottiene/ com'a i cenni d'un putto humil sen uiene/ del aquila, e leon l'alta potenza",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3171518_99093.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100152460
