ID,Question,Answer,Short Answer,Depiction,CulturalProperty
CLIENT,Chi è il committente?,Il bene culturale è stato commissionato [da/dalla/dal] Accademia Bocchiana.,Accademia Bocchiana,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8404007_164451.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500212575-6
CLIENT,Chi era il committente?,Il bene culturale è stato commissionato [da/dalla/dal] Drudi Gabriella.,Drudi Gabriella,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1022751/ICCD11680216_INGSCLR46619_10819.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200268658
CLIENT,C'è stata una committenza?,Il bene culturale è stato commissionato [da/dalla/dal] Corona Anastasio.,Corona Anastasio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580515_SBAS RM 122808.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200199718
CLIENT,Chi è stato il committente?,Il bene culturale è stato commissionato [da/dalla/dal] Valentini Gioacchino.,Valentini Gioacchino,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4576810_SBAS RM 136518.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200224809
CLIENT,Da chi è stata commissionata?,Il bene culturale è stato commissionato [da/dalla/dal] Romolini Francesco.,Romolini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580906_SBAS RM 128053.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200210963-0
CLIENT,È stato eseguito su commissione?,Il bene culturale è stato commissionato [da/dalla/dal] Morelli Ottaviano.,Morelli Ottaviano,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578697_SBAS RM 123763.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762600
CLIENT,Chi è stato il committente?,Il bene culturale è stato commissionato [da/dalla/dal] Morelli Ottaviano.,Morelli Ottaviano,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578711_SBAS RM 161614.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762607
CLIENT,Chi era il committente?,Il bene culturale è stato commissionato [da/dalla/dal] Morelli Ottaviano.,Morelli Ottaviano,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578737_SBAS RM 115540.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762617
CLIENT,Da chi è stata commissionata?,Il bene culturale è stato commissionato [da/dalla/dal] Farnese Odoardo Cardinale.,Farnese Odoardo Cardinale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578035_SBAS RM 123557.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762339A
CLIENT,Da chi è stata commissionata quest'opera?,Il bene culturale è stato commissionato [da/dalla/dal] Cardinale Odoardo Farnese.,Cardinale Odoardo Farnese,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578035_SBAS RM 123557.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762339A
