ID,Question,Answer,Short Answer,Depiction,CulturalProperty
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Canova Antonio.,Canova Antonio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8409855_166242.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500315696
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato [alla/al/allo] Antonio Canova.,Antonio Canova,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8409855_166242.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500315696
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Perenoto Antonio.,Perenoto Antonio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8404384_164723.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500212851
DEDICATION,A chi è dedicata?,"Il bene culturale è dedicato [alla/al/allo] Smith Joseph, console inglese a Venezia.","Smith Joseph, console inglese a Venezia",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8403354_157175.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500212144-33
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Barberini Francesco.,Barberini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408557_165901.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260690-0
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato [alla/al/allo] Barberini Francesco.,Barberini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408559_165902.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260690-2
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Barberini Francesco.,Barberini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8404870_156929.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260617
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Barberini Francesco.,Barberini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408557_165901.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260690-1
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Barberini Francesco.,Barberini Francesco,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408597_165917.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260693-0
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408651_165937.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-0
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408657_165940.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-4
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408661_165942.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-6
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408655_165939.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-3
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408659_165941.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-5
DEDICATION,È dedicato a qualcuno?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408653_165938.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-2
DEDICATION,A chi è dedicata?,Il bene culturale è dedicato [alla/al/allo] Fabris Salvatore.,Fabris Salvatore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1001274/ICCD8408651_165937.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500260699-1
