ID,Question,Answer,Short Answer,Depiction,CulturalProperty
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per [un/una/uno] nascita.,Nascita,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD8243287_509106.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900344182-0
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] patronato della cappella.,Patronato della cappella,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578697_SBAS RM 123763.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762600
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] patronato della cappella.,Patronato della cappella,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578711_SBAS RM 161614.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762607
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] patronato della cappella.,Patronato della cappella,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4578737_SBAS RM 115540.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200762617
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] nascita di Luigi I Delfino di Francia.,Nascita di Luigi I Delfino di Francia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD8243336_509142.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900344200
MOTIVATION,È una statua commissionata per qualche occasione?,Il bene culturale è stato commissionato per [un/una/uno] nozze di Anna Maria Luisa de' Medici con Johann Wilhelm von der Pfalz.,Nozze di Anna Maria Luisa de' Medici con Johann Wilhelm von der Pfalz,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD8243315_509109.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900344190
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] nozze di Caterina dei Medici con Ferdinando Gonzaga.,Nozze di Caterina dei Medici con Ferdinando Gonzaga,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD8243356_509137.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900344209-0
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] ritorno a Firenze del Granduca Ferdinando Iii.,Ritorno a Firenze del Granduca Ferdinando III,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD8243340_509151.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900344202
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] completamento della collezione.,Completamento della collezione,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12506/ICCD2257763_00192522.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100196997
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] recenti nozze con Maria Luigia d'Asburgo.,Recenti nozze con Maria Luigia d'Asburgo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007111/ICCD4107164_00128825.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800404054
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] ornare il suo palazzo fiorentino.,Ornare il suo palazzo fiorentino,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007110/ICCD8434619_CD_9462-222.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800438093
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] sepolcro per se e la madre.,Sepolcro per se e la madre,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4543419_SBAS RM 98015.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200172200
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112961_17499.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-11
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112979_17490.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-2
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5113003_17492.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-4
MOTIVATION,È una statua commissionata per qualche occasione?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112963_17500.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-12
MOTIVATION,È una statua commissionata per qualche occasione?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112969_17503.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-15
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] a seguito della edificazione dell'altare maggiore.,A seguito della edificazione dell'altare maggiore,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112987_17511.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281787-23
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112755_17055.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-1
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112781_17058.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-5
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112785_17054.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-7
MOTIVATION,È una statua commissionata per qualche occasione?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1032565/ICCD11994171_17069.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-17
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112765_17068.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-14
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112769_17072.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-16
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112791_17063.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281778-9
MOTIVATION,Perché è stata creata?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5113214_77138.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900297996
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] arredo della cappella di famiglia.,Arredo della cappella di famiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5113216_17139.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900297997
MOTIVATION,Perché è stata commissionata?,Il bene culturale è stato commissionato per [un/una/uno] assunzione del patronato dell'altare.,Assunzione del patronato dell'altare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112877_17446.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281786-5
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] assunzione del patronato dell'altare.,Assunzione del patronato dell'altare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112907_17172.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281786-65
MOTIVATION,Perché è stato realizzato?,Il bene culturale è stato commissionato per [un/una/uno] assunzione del patronato dell'altare.,Assunzione del patronato dell'altare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112931_17185.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281786-719
MOTIVATION,Per quale scopo è stata realizzata l'opera?,Il bene culturale è stato commissionato per [un/una/uno] assunzione del patronato dell'altare.,Assunzione del patronato dell'altare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112949_17191.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281786-78
MOTIVATION,In quale occasione?,Il bene culturale è stato commissionato per [un/una/uno] assunzione del patronato dell'altare.,Assunzione del patronato dell'altare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5112893_17165.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281786-58
