ID,Question,Answer,Short Answer,Depiction,CulturalProperty
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è monumento sepolcrale di Tommaso Ruffo.,Monumento sepolcrale di Tommaso Ruffo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007106/ICCD3868578_FTAN 43236.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500265593
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Lapide commemorativa ai caduti della prima guerra mondiale.,Lapide commemorativa ai caduti della prima guerra mondiale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1019365/ICCD11420946_pietra 2.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300282878
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Lapide tombale di Tommaso Salinas.,Lapide tombale di Tommaso Salinas,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007103/ICCD3629021_371763.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500371763
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Lapide tombale di Raimondo de Paula.,Lapide tombale di Raimondo de Paula,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007103/ICCD3629023_371764.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500371764
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Lastra tombale di Marcello Marciano.,Lastra tombale di Marcello Marciano,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007103/ICCD3629085_371802-2.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500371802C
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Lastra tombale di Francesco Marciano senior.,Lastra tombale di Francesco Marciano senior,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007103/ICCD3629089_371802-4.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500371802E
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è fontana delle conchiglie.,Fontana delle conchiglie,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007112/ICCD4230771_LS829440.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0600047817
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è monumento all'arciduca Massimiliano d'Asburgo.,Monumento all'arciduca Massimiliano d'Asburgo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007112/ICCD4230775_LS829442.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0600047819
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è monumento a Amedeo di Savoia-Aosta.,Monumento a Amedeo di Savoia-Aosta,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007112/ICCD4230778_LS829445.JPG,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0600047821
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Magazzino in Vico Malatti 13r.,Magazzino in Vico Malatti 13r,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1029649/ICCD11786332_0700210458_01.jpg,https://w3id.org/arco/resource/ArchitecturalOrLandscapeHeritage/0700210458
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è Salita al Santuario di Montallegro.,Salita al Santuario di Montallegro,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1029649/ICCD11786018_0700210624_01.jpg,https://w3id.org/arco/resource/ArchitecturalOrLandscapeHeritage/0700210624
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide sepolcrale di Simeone Corona.,Lapide sepolcrale di Simeone Corona,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580515_SBAS RM 122808.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200199718
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide tombale di Vincenzo Mantacheto.,Lapide tombale di Vincenzo Mantacheto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580519_SBAS RM 122856.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200199720
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide sepolcrale della famiglia Cini.,Lapide sepolcrale della famiglia Cini,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580896_SBAS RM 128044.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200210957
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è altare della Madonna del divino aiuto.,Altare della Madonna del divino aiuto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4580906_SBAS RM 128053.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200210963-0
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è monumento funebre di Giuseppe Fichelli.,Monumento funebre di Giuseppe Fichelli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4581017_SBAS RM 128026.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200211013-0
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide sepolcrale di Carlo Marchionni.,Lapide sepolcrale di Carlo Marchionni,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4581125_SBAS RM 128035.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200211056
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide sepolcrale di Giovanni Battista Del Corno.,Lapide sepolcrale di Giovanni Battista Del Corno,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4581130_SBAS RM 128032.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200211059
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è lapide sepolcrale di Girolamo Feliciangeli.,Lapide sepolcrale di Girolamo Feliciangeli,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4576683_SBAS RM 136581.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200224755
NAME,Qual è il nome del bene culturale?,"Il nome del bene culturale è altare dei Ss. Giuseppe, Cosma e Damiano.","Altare dei Ss. Giuseppe, Cosma e Damiano",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4576810_SBAS RM 136518.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200224809
NAME,Qual è il nome del bene culturale?,Il nome del bene culturale è monumento sepolcrale di Luigi Bottiglia.,Monumento sepolcrale di Luigi Bottiglia,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4577081_SBAS RM 143818.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200256898A
