ID,Question,Answer,Short Answer,Depiction,CulturalProperty
USECONDITIONS,Come si usa il bene culturale?,"La catena serve per sostenere il paiolo, ossia un recipiente rotondo, solitamente di rame con un manico di ferro arcuato, usato per fare bollire l'acqua o cuocere erbacci.","La catena serve per sostenere il paiolo, ossia un recipiente rotondo, solitamente di rame con un manico di ferro arcuato, usato per fare bollire l'acqua o cuocere erbacci",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641395_15415.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232634
USECONDITIONS,Come si usa il bene culturale?,Usato per tagliare il fieno e la paglia; si impugnava per le due impugnature opposte e si procedeva da destra a sinistra.,Usato per tagliare il fieno e la paglia; si impugnava per le due impugnature opposte e si procedeva da destra a sinistra,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641407_15421bis.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232640
USECONDITIONS,Come si usa il bene culturale?,La lama fende a terra in senso orizzontale la porzione di terra da rovesciare.,La lama fende a terra in senso orizzontale la porzione di terra da rovesciare,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641409_15422bis.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232641
USECONDITIONS,Come si usa il bene culturale?,La cesoia serve per tagliare i rami degli alberi stringendo le lame con l'impugnatura.,La cesoia serve per tagliare i rami degli alberi stringendo le lame con l'impugnatura,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641411_15423bis.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232642
USECONDITIONS,Come si usa il bene culturale?,"Si tratta di un giogo doppio da traino, che serve per collegare gli animali all'aratro o al carro. L'attrezzo veniva fissato alla bure dell'aratro tramite l'anello da giogo.","Si tratta di un giogo doppio da traino, che serve per collegare gli animali all'aratro o al carro. L'attrezzo veniva fissato alla bure dell'aratro tramite l'anello da giogo",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641413_15424bis.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232643
USECONDITIONS,Come si usa il bene culturale?,"Serve per guidare il cavallo o l'asino che, grazie alle redini, segue i comandi dati dal contadino stringendole o allentandole. Sono collegate tramite due anelli ad un sottogola.","Serve per guidare il cavallo o l'asino che, grazie alle redini, segue i comandi dati dal contadino stringendole o allentandole. Sono collegate tramite due anelli ad un sottogola",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641513_15474.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232693
USECONDITIONS,Come si usa il bene culturale?,"Elemento della testiera che serve ad impedire al cavallo di vedere, migliorando così la conduzione dell'animale.","Elemento della testiera che serve ad impedire al cavallo di vedere, migliorando così la conduzione dell'animale",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641515_15475.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232694
USECONDITIONS,Come si usa il bene culturale?,L'attrezzo viene adoperato per la costruzione delle botti.,L'attrezzo viene adoperato per la costruzione delle botti,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5641557_15497.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500232716
USECONDITIONS,Come si usa il bene culturale?,"Riempito di brace il contenitore interno, l'utensile si metteva nel letto.","Riempito di brace il contenitore interno, l'utensile si metteva nel letto",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5639546_4648-01.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500235833
USECONDITIONS,Come si usa il bene culturale?,Questa sorta di pinza veniva inserita nelle narici dell'animale. Attraverso gli occhielli esterni veniva fatta passare una corda.,Questa sorta di pinza veniva inserita nelle narici dell'animale. Attraverso gli occhielli esterni veniva fatta passare una corda,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5639612_4681-01.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500235866
USECONDITIONS,Come si usa il bene culturale?,Il rastrello veniva passato sul terreno per liberarlo dalle erbacce.,Il rastrello veniva passato sul terreno per liberarlo dalle erbacce,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5639638_4694-01.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500235879
USECONDITIONS,Come si usa il bene culturale?,"Nel contenitore più grande era messa dell'acqua, in quello più piccolo la colla da sciogliere. La pentola veniva messa sul fuoco, e la colla, si scioglieva a bagnomaria.","Nel contenitore più grande era messa dell'acqua, in quello più piccolo la colla da sciogliere. La pentola veniva messa sul fuoco, e la colla, si scioglieva a bagnomaria",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5639640_4695-01.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500235880
USECONDITIONS,Come si usa il bene culturale?,Si riempiva di latte.,Si riempiva di latte,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5639642_4696-01.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500235881
USECONDITIONS,Come si usa il bene culturale?,"È probabile che si usassero come cinta o per legare le calze, in abiti da festa.","È probabile che si usassero come cinta o per legare le calze, in abiti da festa",http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007108/ICCD5643097_12584-96.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500676279
USECONDITIONS,Come si usa il bene culturale?,Adatto al trasporto di carichi leggeri.,Adatto al trasporto di carichi leggeri,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD8314903_SA055798.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0300028608
USECONDITIONS,Come si usa il bene culturale?,Adatto per falciare il fieno.,Adatto per falciare il fieno,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD8314919_SA055806.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0300028616
USECONDITIONS,Come si usa il bene culturale?,Adatto per contenere la pietra per affilare la lama della falce.,Adatto per contenere la pietra per affilare la lama della falce,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD8314927_SA055810.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0300028620
USECONDITIONS,Come si usa il bene culturale?,Adatto per livellare i prati.,Adatto per livellare i prati,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD8314933_SA055814.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0300028623
USECONDITIONS,Come si usa il bene culturale?,Adatto per tritare la paglia per l'alimentazione animale.,Adatto per tritare la paglia per l'alimentazione animale,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD8314964_SA055830.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0300028638
