ID,Question,Answer,Short Answer,Depiction,CulturalProperty
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix - Xx secolo.,XIX - XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11743908_MCDM0234.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849568
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix - Xx secolo.,XIX - XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11743932_MCDM0235.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849569
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11755076_0265.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849599
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11760383_0276.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849610
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11760393_0277.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849611
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix-xx secolo.,XIX-XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11762268_0255.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849613
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11767472_0291.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849626
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo (seconda metà).,XX secolo (seconda metà),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11782304_0293.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849628
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo (seconda metà).,XX secolo (seconda metà),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11782329_0294.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849629
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11874390_0361.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849700
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11878784_0370.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849705
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11878789_0371.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849706
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11879609_0380.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849713
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xix fine - sec. Xx prima metà.,Sec. XIX fine - sec. XX prima metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11885486_0393.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849726
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx seconda metà.,Sec. XX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11885495_0394.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849727
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11885522_0397.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849730
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11885820_0401.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849734
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11886643_0405.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849738
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11898208_0428.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849761
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx inizio.,XX inizio,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1058981/ICCD13690003_MUCIV-MATP_ 24509_001.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201254199-9-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix secolo.,XIX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1009104/ICCD11139936_503_lampada_spirito.JPG,https://w3id.org/arco/resource/ScientificOrTechnologicalHeritage/0900772013
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788406_IMR_DF0556F341804A7E84ED27484EBAD577.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038100-11-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788414_IMR_6B6DA7103A9A44AF9B527649CDF429F2.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038100-3-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788422_IMR_6627D014B37C4D8EAC3617C1C9E89766.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038100-7-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788430_IMR_F6B58632DE4843589DC9D1FB90DCE42E.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038101-1-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788442_IMR_7075C5865B884E3293D16EFD3C84AE05.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038101-4-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788475_IMR_6855C9F3D5C24F0EA0AF62B3A4CC1334.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038102-8-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788479_IMR_19EA06B0F0D347ECA1C6EC425F06F174.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038103-0
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix seconda metà.,XIX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1060547/ICCD13788371_IMR_1652DDB28A964F79A3392034D6486A21.JPG,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1201038107-2-component
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx prima metà.,Sec. XX prima metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11927456_0478.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849811
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx prima metà - terzo quarto.,Sec. XX prima metà - terzo quarto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11927684_0483.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849816
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx terzo quarto.,Sec. XX terzo quarto,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11927706_0485.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849818
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11928161_0490.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849822
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx prima metà.,Sec. XX prima metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11928209_0489.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849826
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11928231_0498.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849829
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx seconda metà.,Sec. XX seconda metà,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11929023_0496.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849833
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007102/ICCD5596103_0004182e.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1800057579
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11750242_0252.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849587
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo (prima metà).,XX secolo (prima metà),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11750251_0254.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849589
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix- Xx sec.,XIX- XX sec,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11750305_0256.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849590
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix-xx secolo.,XIX-XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11755035_0263.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849597
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xix secolo.,XIX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11755072_0264.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849598
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11755078_0266.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849600
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11766529_0280.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849615
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al Xx secolo.,XX secolo,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11766886_0285.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849620
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11918646_0438.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849771-1
USETIME,A quale periodo risale l'utilizzo del bene?,L'uso del bene risale al sec. Xx.,Sec. XX,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1026824/ICCD11922895_0442.jpg,https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1500849772-1
